x,y
38.33775718,92.47271905
35.75187079,94.11676803
32.76721796,88.51829458
33.72960678,88.62226579
37.23824933,83.72492841
36.02719822,82.04078065
39.23928078,79.26372384
39.78452494,82.2605659
35.16602939,84.15649198
40.62211592,78.54210421
39.18190709,79.8190372
42.43088899,75.13363464
43.08125586,75.34670164
44.36071943,70.47420705
44.32477884,71.0459044
47.5521602,66.46040372
48.66492462,64.96100494
46.28063196,68.02842315
50.56324448,62.62382797
52.63096423,59.96393579
54.63620644,57.49384244
51.34602714,61.60055304
57.13485535,53.8779658
54.17124157,58.0598079
50.94238231,62.09739394
66.51292446,59.07128185
64.3979095,56.1748754
68.68659329,62.23734399
65.02779371,57.09625735
53.30450317,40.88384455
52.94517809,40.38462569
45.2257382,30.55522592
50.84330462,37.7446281
49.65929394,36.27344274
47.14278893,32.02506417
41.27005653,21.72181715
47.13012716,31.30990292
40.91597158,23.54159239
38.66016397,21.68954964
42.61255083,24.19505377
41.2090395,24.12870919
50.64922115,37.48379074
52.13190194,39.36460208
39.79727127,16.08354965
43.54988148,24.30721094
36.71466334,17.38180986
37.22461013,17.98006448
40.51244785,22.96221457
40.22206279,20.6146217
44.12496121,23.36624529
42.3462616,24.55832694
44.18908437,28.77262547
45.81424531,31.05697967
46.64311927,31.40721906
52.1898883,39.36779649
51.10031736,38.09569998
65.40083415,42.61403204
64.85203983,43.13373484
63.40380601,44.84749369
65.37154887,42.69597132
61.9080397,53.19035207
71.826653,65.68623036
72.65462316,66.87827761
76.88857816,72.16547208
43.74461968,71.26796108
39.05424844,83.1190207
39.93167463,79.939188
39.76282611,76.40596745
41.32338329,80.2118686
41.78732323,83.98807799
39.75564907,79.65709664
40.7498794,77.20465729
43.8568985,77.60984365
42.3678225,73.63827183
39.46295984,78.4599739
44.51733395,70.36934983
41.636093,76.24922292
45.42293218,69.09550167
42.00285627,97.83761472
76.10562903,95.30498058
79.20256268,92.40721563
84.84824409,95.42480453
81.56447532,83.79290723
85.4461864,83.07829384
80.31249138,76.51623895
80.7662323,79.89606568
82.67011248,81.71147985
77.16362548,73.52371896
74.07070003,68.47956429
74.11423087,71.92636352
68.94207546,62.63515058
73.24200233,67.35327113
71.86701316,34.32915759
71.56918885,34.69921861
71.48290969,34.68051699
78.12852205,23.13923184
78.78982525,25.59719335
77.7815468,23.44721447
48.53062937,34.15245001
65.53078147,42.2810847
70.11803414,36.44818479
70.47226261,36.08805306
76.79113007,28.07200817
72.40935459,33.03925697
76.27129982,25.56954415
76.95325914,27.77061074
75.10773009,30.01698342
75.9692852,29.03886538
75.28388701,24.87475317
77.05224064,27.90563909
42.82675634,25.55695941
42.08066069,24.94652645
39.87830465,18.32492922
36.47549917,17.71894779
37.10307364,15.44561165
34.14896821,13.52386987
37.57942191,15.01589013
41.06430579,12.21446893
42.19526615,20.91937219
36.60557824,15.74887589
39.43116121,19.32384075
37.56207634,11.9284457
34.23811004,13.71315823
34.14094104,4.57766135
36.6592677,17.68196446
40.64371928,20.24086137
36.79248159,13.39213473
75.94830064,22.74479591
76.84069247,20.91854722
81.95047764,19.87455821
81.64370569,16.59175998
84.61021978,14.2477619
84.10287943,8.98065579
80.18002545,19.08884413
80.57327299,8.365638902
79.00432686,10.62819777
40.04818647,24.26148793
34.79459354,13.96968346
79.22176444,22.09459148
36.03087977,93.12173324
34.49955831,86.60998505
31.10686656,89.46163524
