x,y
51.20389114,83.33977661
58.9744699,85.49981761
51.87207267,85.82973763
48.17993079,85.04511674
41.6832004,84.0179406
37.8904155,82.567493
39.54897369,80.81260177
39.64957388,82.66453387
34.75059705,80.01109099
27.56083529,72.84782559
24.63553998,71.61071483
20.95946481,66.04149838
20.68914905,62.72130521
19.28820474,62.06305936
20.02450057,61.34262387
35.469523,43.11588495
36.89432765,47.70655597
39.05554978,55.54697371
46.95708015,65.24040739
37.31045274,45.2587509
40.009672,60.98658251
48.01438668,65.71281959
53.70377593,66.38948204
63.06749989,64.03500046
62.04803251,63.84586325
59.83996671,64.47676444
55.16094182,65.23730817
61.27978658,65.7664025
60.83491753,64.60376971
61.52059065,64.79185504
36.91654386,41.09524744
38.50219967,41.56715562
48.66437073,30.68066685
50.2852524,30.33792211
42.27633267,34.52763612
54.03177562,29.67234831
37.32935526,39.60204231
41.38952255,37.29605623
40.07466666,34.6236852
35.34968062,47.14107313
34.76370042,47.62479992
37.02662945,44.46229305
36.45556953,40.79184303
35.53766421,48.72938687
20.40894789,32.20303042
23.49571047,25.32246815
29.55754336,21.36477746
33.00823391,15.98507146
53.98039918,29.35098671
52.2343086,29.71167299
59.50307661,30.66967394
41.16378107,34.31575825
48.99304012,32.03035884
59.26928032,29.64070177
45.469177,33.83119273
62.69126654,30.29037383
73.42867087,48.57785513
70.84642611,52.28225333
71.53901985,45.52180616
67.62086589,38.00655847
72.47095256,51.12213482
64.81223756,62.81091559
60.85367987,65.49914703
67.78949616,61.36370155
41.60955727,83.84868656
53.00302532,84.6747986
54.71417106,84.04312807
44.29166872,82.90944121
49.19172196,85.87622912
53.10138178,84.54765869
51.59984815,84.81982149
54.37972195,84.24035555
46.4807681,83.51821167
53.17465627,84.26056799
45.27200294,85.23707942
36.03340215,53.37168776
28.27119417,72.84023126
25.05480608,71.54859792
64.758887,82.31522364
63.14452748,85.23669633
50.42467869,85.17474759
70.64499626,82.43091876
63.14904908,83.94685535
62.82402452,84.96618595
70.23686952,82.17115106
70.04273524,80.38502135
72.57062345,80.97121843
75.13071604,79.98409314
83.29390573,70.77843179
79.66426228,73.93230972
88.43210253,64.624247
89.11555901,64.00150664
89.09219763,57.76819305
91.72600577,52.62335326
91.73553876,48.97021089
91.50788817,53.31265209
88.2390019,31.47743488
88.5305192,30.47603101
55.36516034,30.44585028
62.56025887,30.44713567
58.00666912,30.2537213
55.06711799,29.0115352
61.61477596,29.99439119
68.54314354,35.65783217
77.70610965,20.30426019
68.453046,13.03552859
68.25720644,12.38463915
70.25547467,13.25038497
65.04432528,11.00084148
60.09224661,11.87211171
52.99202897,9.906668483
50.14462898,12.21154309
46.50861419,11.20713449
43.80703196,11.31894489
57.81785469,10.94514243
50.94049266,9.691547134
63.49732308,11.91406917
50.01648295,11.93385209
58.63676508,11.97472107
54.73028909,11.41288267
65.8755478,11.73243636
57.06098271,9.920560854
46.81990795,10.49465268
38.35939487,13.43132262
47.31541578,12.85345178
55.05191654,11.94998862
50.51596026,9.765591622
49.67741465,10.38313251
67.28065952,14.12865153
66.17301826,12.03791702
61.08854414,10.08453441
66.05308577,13.38022601
72.66998927,15.23422594
61.5034725,10.82841448
68.99502863,13.99431053
78.24991617,17.88324091
36.48198057,15.16276009
50.96774838,29.67977429
91.19105361,46.67434284
55.86376849,85.33648676
49.2805948,84.04882283
43.36850154,84.3321772
